text,label
Click link to avoid account deactivation to prevent blocking,Fraud
Confirm OTP to secure your account immediately,Fraud
Job offer processing fee required to prevent blocking,Fraud
Send money urgently or your account will be blocked to avoid suspension,Fraud
Pay registration fee to confirm job failure to comply will result in closure,Fraud
Refund pending click to claim to avoid suspension,Fraud
Job offer processing fee required within 24 hours,Fraud
Confirm OTP to secure your account within 24 hours,Fraud
Pay registration fee to confirm job immediately,Fraud
Refund pending click to claim to prevent blocking,Fraud
Your UPI KYC expired update now immediately,Fraud
Your UPI KYC expired update now to prevent blocking,Fraud
Your parcel delivery failed pay shipping fee within 24 hours,Fraud
Job offer processing fee required within 24 hours,Fraud
Job offer processing fee required to avoid suspension,Fraud
Confirm OTP to secure your account to avoid suspension,Fraud
Pay registration fee to confirm job within 24 hours,Fraud
Job offer processing fee required failure to comply will result in closure,Fraud
Click link to avoid account deactivation to prevent blocking,Fraud
Confirm OTP to secure your account immediately,Fraud
Click link to avoid account deactivation immediately,Fraud
Refund pending click to claim failure to comply will result in closure,Fraud
Pay registration fee to confirm job immediately,Fraud
Job offer processing fee required failure to comply will result in closure,Fraud
Confirm OTP to secure your account to prevent blocking,Fraud
Your bank account is suspended verify immediately to prevent blocking,Fraud
Click link to avoid account deactivation urgent action required,Fraud
Pay registration fee to confirm job to avoid suspension,Fraud
Refund pending click to claim to avoid suspension,Fraud
Click link to avoid account deactivation within 24 hours,Fraud
Your UPI KYC expired update now to prevent blocking,Fraud
Account under verification send details now to prevent blocking,Fraud
Your parcel delivery failed pay shipping fee to avoid suspension,Fraud
Account under verification send details now to avoid suspension,Fraud
Confirm OTP to secure your account failure to comply will result in closure,Fraud
Your parcel delivery failed pay shipping fee within 24 hours,Fraud
Account under verification send details now immediately,Fraud
Job offer processing fee required within 24 hours,Fraud
Your bank account is suspended verify immediately to avoid suspension,Fraud
Confirm OTP to secure your account failure to comply will result in closure,Fraud
Pay registration fee to confirm job failure to comply will result in closure,Fraud
Your bank account is suspended verify immediately to prevent blocking,Fraud
Click link to avoid account deactivation within 24 hours,Fraud
Pay registration fee to confirm job urgent action required,Fraud
Your parcel delivery failed pay shipping fee to prevent blocking,Fraud
Send money urgently or your account will be blocked within 24 hours,Fraud
Pay registration fee to confirm job immediately,Fraud
Job offer processing fee required within 24 hours,Fraud
Pay registration fee to confirm job failure to comply will result in closure,Fraud
Confirm OTP to secure your account to prevent blocking,Fraud
Your bank account is suspended verify immediately urgent action required,Fraud
Refund pending click to claim to avoid suspension,Fraud
Pay registration fee to confirm job to prevent blocking,Fraud
Click link to avoid account deactivation within 24 hours,Fraud
Account under verification send details now within 24 hours,Fraud
Account under verification send details now urgent action required,Fraud
Refund pending click to claim failure to comply will result in closure,Fraud
Job offer processing fee required urgent action required,Fraud
Your bank account is suspended verify immediately failure to comply will result in closure,Fraud
Account under verification send details now failure to comply will result in closure,Fraud
Your UPI KYC expired update now failure to comply will result in closure,Fraud
Job offer processing fee required within 24 hours,Fraud
Refund pending click to claim urgent action required,Fraud
Your bank account is suspended verify immediately to prevent blocking,Fraud
Refund pending click to claim failure to comply will result in closure,Fraud
Pay registration fee to confirm job within 24 hours,Fraud
Send money urgently or your account will be blocked to prevent blocking,Fraud
Click link to avoid account deactivation urgent action required,Fraud
Job offer processing fee required failure to comply will result in closure,Fraud
Send money urgently or your account will be blocked to avoid suspension,Fraud
Confirm OTP to secure your account to prevent blocking,Fraud
Account under verification send details now immediately,Fraud
Pay registration fee to confirm job within 24 hours,Fraud
Job offer processing fee required to prevent blocking,Fraud
Send money urgently or your account will be blocked urgent action required,Fraud
Confirm OTP to secure your account within 24 hours,Fraud
Send money urgently or your account will be blocked within 24 hours,Fraud
Account under verification send details now within 24 hours,Fraud
Your parcel delivery failed pay shipping fee to avoid suspension,Fraud
Account under verification send details now to prevent blocking,Fraud
Send money urgently or your account will be blocked within 24 hours,Fraud
Refund pending click to claim to prevent blocking,Fraud
Send money urgently or your account will be blocked to prevent blocking,Fraud
Click link to avoid account deactivation failure to comply will result in closure,Fraud
Job offer processing fee required failure to comply will result in closure,Fraud
Your bank account is suspended verify immediately immediately,Fraud
Your bank account is suspended verify immediately to prevent blocking,Fraud
Confirm OTP to secure your account immediately,Fraud
Send money urgently or your account will be blocked urgent action required,Fraud
Refund pending click to claim to prevent blocking,Fraud
Send money urgently or your account will be blocked to avoid suspension,Fraud
Your parcel delivery failed pay shipping fee within 24 hours,Fraud
Send money urgently or your account will be blocked to prevent blocking,Fraud
Pay registration fee to confirm job to avoid suspension,Fraud
Confirm OTP to secure your account immediately,Fraud
Your bank account is suspended verify immediately to avoid suspension,Fraud
Your bank account is suspended verify immediately to prevent blocking,Fraud
Confirm OTP to secure your account immediately,Fraud
Refund pending click to claim to avoid suspension,Fraud
